Course Code|Course Description|Grade|Pathway or Destination|Enrolment
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|34646
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|26958
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|11380
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|2479
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|208
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|8172
ADA4O|Dramatic Arts|Grade 12|Open (Grade 9 - 12 level)|<10
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|229
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|258
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|626
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|141
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|620
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|167
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|142
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|165
ADC3O|Drama in the Community|Grade 11|Open (Grade 9 - 12 level)|111
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|333
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|549
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|750
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|1032
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|200
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1109
ADD4O|Dramatic Arts - Production|Grade 12|Open (Grade 9 - 12 level)|<10
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|47
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|200
ADG3M|Drama - Acting/Improvisation|Grade 11|University/College Preparation (Grade 11 & 12 level)|207
ADG3O|Drama - Acting/Improvisation|Grade 11|Open (Grade 9 - 12 level)|100
ADG4M|Drama - Acting/Improvisation|Grade 12|University/College Preparation (Grade 11 & 12 level)|218
ADH4T|Performing Arts Career Studies|Grade 12|College Delivered (Dual Credits)|14
ADP3M|Drama - Playwriting/Theatre Development|Grade 11|University/College Preparation (Grade 11 & 12 level)|63
ADP3O|Drama - Playwriting/Theatre Development|Grade 11|Open (Grade 9 - 12 level)|<10
ADP4M|Drama - Playwriting/Theatre Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|115
ADT3M|Drama - Canadian Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|14
ADT4M|Drama - Canadian Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|17
ADV1O|Drama - Film/Video|Grade 9|Open (Grade 9 - 12 level)|99
ADV2O|Drama - Film/Video|Grade 10|Open (Grade 9 - 12 level)|142
ADV3M|Drama - Film/Video|Grade 11|University/College Preparation (Grade 11 & 12 level)|473
ADV3O|Drama - Film/Video|Grade 11|Open (Grade 9 - 12 level)|72
ADV4M|Drama - Film/Video|Grade 12|University/College Preparation (Grade 11 & 12 level)|391
AEA3O|Exploring and Creating in the Arts|Grade 11|Open (Grade 9 - 12 level)|130
AEA4O|Exploring and Creating in the Arts|Grade 12|Open (Grade 9 - 12 level)|1601
AEB4T|Exploring Art and Design|Grade 12|College Delivered (Dual Credits)|55
AED4T|Art and Design Portfolio Development|Grade 12|College Delivered (Dual Credits)|30
AEF4T|Design|Grade 12|College Delivered (Dual Credits)|13
AEG4T|Elements, Principles and History of Design|Grade 12|College Delivered (Dual Credits)|<10
AEH4T|Elements of Décor|Grade 12|College Delivered (Dual Credits)|33
AEI4T|Colour in Decoration|Grade 12|College Delivered (Dual Credits)|10
AEL4T|Basic  Design|Grade 12|College Delivered (Dual Credits)|14
AEM4T|Composition and Creativity|Grade 12|College Delivered (Dual Credits)|23
AFA4T|Illustration|Grade 12|College Delivered (Dual Credits)|19
AFB4T|Painting and Drawing|Grade 12|College Delivered (Dual Credits)|15
AFD4T|Drawing|Grade 12|College Delivered (Dual Credits)|28
AFE4T|Basic Digital Photography|Grade 12|College Delivered (Dual Credits)|24
AFG4T|2D Digital Art|Grade 12|College Delivered (Dual Credits)|21
AFI4T|Digital Photography and Image Editing|Grade 12|College Delivered (Dual Credits)|72
AFJ4T|Digital Art and Design|Grade 12|College Delivered (Dual Credits)|68
AFK4T|Digital Photography Techniques|Grade 12|College Delivered (Dual Credits)|143
AFL4T|Introduction à la photographie|Grade 12|College Delivered (Dual Credits)|10
AFO4T|Painting and Drawing - Watercolour|Grade 12|College Delivered (Dual Credits)|<10
AFQ4T|Editorial Illustrations|Grade 12|College Delivered (Dual Credits)|<10
AFR4T|Modelling and Animation|Grade 12|College Delivered (Dual Credits)|28
AFS4T|Painting and Drawing ¿ Theory|Grade 12|College Delivered (Dual Credits)|<10
AFT4T|Advanced Water Colour|Grade 12|College Delivered (Dual Credits)|<10
AHA4T|History of Popular Music|Grade 12|College Delivered (Dual Credits)|13
AHB4T|Musical Theatre Production|Grade 12|College Delivered (Dual Credits)|10
AHE4T|Music and Society|Grade 12|College Delivered (Dual Credits)|32
AHF4T|Good Vibrations: The Evolution of Popular Music|Grade 12|College Delivered (Dual Credits)|41
AHG4T|Canadian Music Industry|Grade 12|College Delivered (Dual Credits)|<10
AHI4T|Art History and Appreciation|Grade 12|College Delivered (Dual Credits)|<10
AHK4T|History of Popular Music II|Grade 12|College Delivered (Dual Credits)|25
AHL4T|History of Rock and Roll|Grade 12|College Delivered (Dual Credits)|39
AHM4T|The Beat Generation|Grade 12|College Delivered (Dual Credits)|24
ALC1O|Intergrated Arts|Grade 9|Open (Grade 9 - 12 level)|4208
ALC2O|Intergrated Arts|Grade 10|Open (Grade 9 - 12 level)|312
AMB1O|Instrumental Music - Brass|Grade 9|Open (Grade 9 - 12 level)|99
AMB2O|Instrumental Music - Brass|Grade 10|Open (Grade 9 - 12 level)|34
AMB3M|Instrumental Music - Brass|Grade 11|University/College Preparation (Grade 11 & 12 level)|42
AMB4M|Instrumental Music - Brass|Grade 12|University/College Preparation (Grade 11 & 12 level)|47
AMC1O|Music for Creating|Grade 9|Open (Grade 9 - 12 level)|183
AMC2O|Music for Creating|Grade 10|Open (Grade 9 - 12 level)|360
AMC3M|Music for Creating|Grade 11|University/College Preparation (Grade 11 & 12 level)|251
AMC3O|Music for Creating|Grade 11|Open (Grade 9 - 12 level)|159
AMC4M|Music for Creating|Grade 12|University/College Preparation (Grade 11 & 12 level)|281
AMD1O|Electronic Music|Grade 9|Open (Grade 9 - 12 level)|11
AMD2O|Electronic Music|Grade 10|Open (Grade 9 - 12 level)|37
AMD3M|Electronic Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|82
AMD3O|Electronic Music|Grade 11|Open (Grade 9 - 12 level)|45
AMD4M|Electronic Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|37
AME1O|Small Ensemble|Grade 9|Open (Grade 9 - 12 level)|118
AME2O|Small Ensemble|Grade 10|Open (Grade 9 - 12 level)|279
AME3M|Small Ensemble|Grade 11|University/College Preparation (Grade 11 & 12 level)|219
AME3O|Small Ensemble|Grade 11|Open (Grade 9 - 12 level)|157
AME4M|Small Ensemble|Grade 12|University/College Preparation (Grade 11 & 12 level)|272
AMG1O|Guitar Music|Grade 9|Open (Grade 9 - 12 level)|1828
AMG2O|Guitar Music|Grade 10|Open (Grade 9 - 12 level)|8443
AMG3M|Guitar Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|1911
AMG3O|Guitar Music|Grade 11|Open (Grade 9 - 12 level)|3023
AMG4M|Guitar Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|1501
AMH1O|Stage-Band Music|Grade 9|Open (Grade 9 - 12 level)|67
AMH2O|Stage-Band Music|Grade 10|Open (Grade 9 - 12 level)|395
AMH3M|Stage-Band Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|500
AMH3O|Stage-Band Music|Grade 11|Open (Grade 9 - 12 level)|140
AMH4M|Stage-Band Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|602
AMI1O|Instrumental Music - Band|Grade 9|Open (Grade 9 - 12 level)|13339
AMI2O|Instrumental Music - Band|Grade 10|Open (Grade 9 - 12 level)|6912
AMI3M|Instrumental Music - Band|Grade 11|University/College Preparation (Grade 11 & 12 level)|4352
AMI3O|Instrumental Music - Band|Grade 11|Open (Grade 9 - 12 level)|181
AMI4M|Instrumental Music - Band|Grade 12|University/College Preparation (Grade 11 & 12 level)|3300
AMJ2O|Vocal Jazz|Grade 10|Open (Grade 9 - 12 level)|49
AMJ3M|Vocal Jazz|Grade 11|University/College Preparation (Grade 11 & 12 level)|96
AMJ3O|Vocal Jazz|Grade 11|Open (Grade 9 - 12 level)|20
AMJ4M|Vocal Jazz|Grade 12|University/College Preparation (Grade 11 & 12 level)|163
AMK1O|Keyboard Music|Grade 9|Open (Grade 9 - 12 level)|574
AMK2O|Keyboard Music|Grade 10|Open (Grade 9 - 12 level)|1651
AMK3M|Keyboard Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|520
AMK3O|Keyboard Music|Grade 11|Open (Grade 9 - 12 level)|256
AMK4M|Keyboard Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|338
AMM1O|Music and Computers|Grade 9|Open (Grade 9 - 12 level)|100
AMM2O|Music and Computers|Grade 10|Open (Grade 9 - 12 level)|733
AMM3M|Music and Computers|Grade 11|University/College Preparation (Grade 11 & 12 level)|467
AMM3O|Music and Computers|Grade 11|Open (Grade 9 - 12 level)|198
AMM4M|Music and Computers|Grade 12|University/College Preparation (Grade 11 & 12 level)|271
AMO1O|Instrumental Music - Orchestra|Grade 9|Open (Grade 9 - 12 level)|319
AMO2O|Instrumental Music - Orchestra|Grade 10|Open (Grade 9 - 12 level)|141
AMO3M|Instrumental Music - Orchestra|Grade 11|University/College Preparation (Grade 11 & 12 level)|121
AMO3O|Instrumental Music - Orchestra|Grade 11|Open (Grade 9 - 12 level)|<10
AMO4M|Instrumental Music - Orchestra|Grade 12|University/College Preparation (Grade 11 & 12 level)|92
AMP1O|Instrumental Music - Percussion|Grade 9|Open (Grade 9 - 12 level)|202
AMP2O|Instrumental Music - Percussion|Grade 10|Open (Grade 9 - 12 level)|316
AMP3M|Instrumental Music - Percussion|Grade 11|University/College Preparation (Grade 11 & 12 level)|85
AMP3O|Instrumental Music - Percussion|Grade 11|Open (Grade 9 - 12 level)|72
AMP4M|Instrumental Music - Percussion|Grade 12|University/College Preparation (Grade 11 & 12 level)|59
AMQ1O|Steel Drum - Music|Grade 9|Open (Grade 9 - 12 level)|245
AMQ2O|Steel Drum - Music|Grade 10|Open (Grade 9 - 12 level)|271
AMQ3M|Steel Drum - Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|80
AMQ3O|Steel Drum - Music|Grade 11|Open (Grade 9 - 12 level)|46
AMQ4M|Steel Drum - Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|52
AMR1O|Repertoire|Grade 9|Open (Grade 9 - 12 level)|3877
AMR2O|Repertoire|Grade 10|Open (Grade 9 - 12 level)|3688
AMR3M|Repertoire|Grade 11|University/College Preparation (Grade 11 & 12 level)|2476
AMR3O|Repertoire|Grade 11|Open (Grade 9 - 12 level)|845
AMR4M|Repertoire|Grade 12|University/College Preparation (Grade 11 & 12 level)|2512
AMS1O|Instrumental Music - Strings|Grade 9|Open (Grade 9 - 12 level)|1976
AMS2O|Instrumental Music - Strings|Grade 10|Open (Grade 9 - 12 level)|1300
