Course Code|Course Description|Grade|Pathway or Destination|Enrolment
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|32020
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|21635
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|8880
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|1600
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|115
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|6080
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|130
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|235
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|550
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|80
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|590
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|135
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|70
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|135
ADC3O|Drama in the Community|Grade 11|Open (Grade 9 - 12 level)|<10
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|200
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|710
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|920
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|900
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|195
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1030
ADD4O|Drama - Production|Grade 12|Open (Grade 9 - 12 level)|<10
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|65
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|200
ADG3M|Drama - Acting/Improvisation|Grade 11|University/College Preparation (Grade 11 & 12 level)|170
ADG3O|Drama - Acting/Improvisation|Grade 11|Open (Grade 9 - 12 level)|70
ADG4M|Drama - Acting/Improvisation|Grade 12|University/College Preparation (Grade 11 & 12 level)|135
ADH4T|Performing Arts Career Studies|Grade 12|College Delivered (Dual Credits)|<10
ADP3M|Drama - Playwriting/Theatre Development|Grade 11|University/College Preparation (Grade 11 & 12 level)|120
ADP4M|Drama - Playwriting/Theatre Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|85
ADT3M|Drama - Canadian Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|20
ADT4M|Drama - Canadian Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|<10
ADV1O|Drama - Film/Video|Grade 9|Open (Grade 9 - 12 level)|50
ADV2O|Drama - Film/Video|Grade 10|Open (Grade 9 - 12 level)|90
ADV3M|Drama - Film/Video|Grade 11|University/College Preparation (Grade 11 & 12 level)|320
ADV3O|Drama - Film/Video|Grade 11|Open (Grade 9 - 12 level)|75
ADV4M|Drama - Film/Video|Grade 12|University/College Preparation (Grade 11 & 12 level)|305
AEA3O|Exploring and Creating in the Arts|Grade 11|Open (Grade 9 - 12 level)|985
AEA4O|Exploring and Creating in the Arts|Grade 12|Open (Grade 9 - 12 level)|490
AED4T|Art and Design Portfolio Development|Grade 12|College Delivered (Dual Credits)|<10
AEE4T|Art History and Appreciation|Grade 12|College Delivered (Dual Credits)|<10
AEF4T|Design|Grade 12|College Delivered (Dual Credits)|20
AEH4T|Elements of Décor|Grade 12|College Delivered (Dual Credits)|<10
AEL4T|Basic  Design|Grade 12|College Delivered (Dual Credits)|30
AEM4T|Composition and Creativity|Grade 12|College Delivered (Dual Credits)|20
AFA4T|Illustration|Grade 12|College Delivered (Dual Credits)|50
AFB4T|Painting and Drawing|Grade 12|College Delivered (Dual Credits)|20
AFD4T|Drawing|Grade 12|College Delivered (Dual Credits)|125
AFE4T|Basic Digital Photography|Grade 12|College Delivered (Dual Credits)|15
AFG4T|2D Digital Art|Grade 12|College Delivered (Dual Credits)|25
AFI4T|Digital Photography and Image Editing|Grade 12|College Delivered (Dual Credits)|150
AFJ4T|Digital Art and Design|Grade 12|College Delivered (Dual Credits)|65
AFK4T|Digital Photography Techniques|Grade 12|College Delivered (Dual Credits)|130
AFM4T|Digital Applications|Grade 12|College Delivered (Dual Credits)|20
AFR4T|Modelling and Animation|Grade 12|College Delivered (Dual Credits)|40
AFS4T|Painting and Drawing – Theory|Grade 12|College Delivered (Dual Credits)|<10
AHE4T|Music and Society|Grade 12|College Delivered (Dual Credits)|30
AHG4T|Canadian Music Industry|Grade 12|College Delivered (Dual Credits)|<10
ALC1O|Integrated Arts|Grade 9|Open (Grade 9 - 12 level)|3670
ALC2O|Integrated Arts|Grade 10|Open (Grade 9 - 12 level)|555
AMB1O|Instrumental Music - Brass|Grade 9|Open (Grade 9 - 12 level)|75
AMB2O|Instrumental Music - Brass|Grade 10|Open (Grade 9 - 12 level)|25
AMB3M|Instrumental Music - Brass|Grade 11|University/College Preparation (Grade 11 & 12 level)|30
AMB4M|Instrumental Music - Brass|Grade 12|University/College Preparation (Grade 11 & 12 level)|30
AMC1O|Music for Creating|Grade 9|Open (Grade 9 - 12 level)|245
AMC2O|Music for Creating|Grade 10|Open (Grade 9 - 12 level)|285
AMC3M|Music for Creating|Grade 11|University/College Preparation (Grade 11 & 12 level)|285
AMC3O|Music for Creating|Grade 11|Open (Grade 9 - 12 level)|95
