Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
ADA1O|Théâtre|9e année|Ouvert|32253
ADA2O|Théâtre|10e année|Ouvert|25098
ADA3M|Théâtre|11e année|Filière préuniversitaire/précollégiale|10562
ADA3O|Théâtre|11e année|Ouvert|2054
ADA4E|Théâtre|12e année|Filière préemploi|174
ADA4M|Théâtre|12e année|Filière préuniversitaire/précollégiale|7096
ADB1O|Théâtre musical|9e année|Ouvert|150
ADB2O|Théâtre musical|10e année|Ouvert|268
ADB3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|556
ADB3O|Théâtre musical|11e année|Ouvert|86
ADB4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|627
ADC1O|Théâtre communautaire|9e année|Ouvert|130
ADC2O|Théâtre communautaire|10e année|Ouvert|93
ADC3M|Théâtre communautaire|11e année|Filière préuniversitaire/précollégiale|110
ADC3O|Théâtre communautaire|11e année|Ouvert|93
ADC4M|Théâtre communautaire|12e année|Filière préuniversitaire/précollégiale|215
ADD1O|Théâtre - production|9e année|Ouvert|635
ADD2O|Théâtre - production|10e année|Ouvert|762
ADD3M|Théâtre - production|11e année|Filière préuniversitaire/précollégiale|1128
ADD3O|Théâtre - production|11e année|Ouvert|272
ADD4M|Théâtre - production|12e année|Filière préuniversitaire/précollégiale|1137
ADF3M|Travail de mise en scène|11e année|Filière préuniversitaire/précollégiale|85
ADF3O|Travail de mise en scène|11e année|Ouvert|<10
ADF4M|Travail de mise en scène|12e année|Filière préuniversitaire/précollégiale|255
ADG3M|Théâtre - jeu dramatique et improvisation|11e année|Filière préuniversitaire/précollégiale|178
ADG3O|Théâtre - jeu dramatique et improvisation|11e année|Ouvert|152
ADG4M|Théâtre - jeu dramatique et improvisation|12e année|Filière préuniversitaire/précollégiale|168
ADH4T|Performing Arts Career Studies|12e année|Cours collégial, enseigné par le collège (DRC)|10
ADJ4T|Acting for Film and Television|12e année|Cours collégial, enseigné par le collège (DRC)|14
ADP3M|Théâtre - dramaturgie et développement théâtral|11e année|Filière préuniversitaire/précollégiale|70
ADP3O|Théâtre - dramaturgie et développement théâtral|11e année|Ouvert|<10
ADP4M|Théâtre - dramaturgie et développement théâtral|12e année|Filière préuniversitaire/précollégiale|39
ADT3M|Théâtre - théâtre canadien|11e année|Filière préuniversitaire/précollégiale|20
ADT4M|Théâtre - théâtre canadien|12e année|Filière préuniversitaire/précollégiale|25
ADV1O|Théâtre - cinéma/vidéo|9e année|Ouvert|85
