Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
ADA1O|Théâtre|9e année|Ouvert|31110
ADA2O|Théâtre|10e année|Ouvert|21612
ADA3M|Théâtre|11e année|Filière préuniversitaire/précollégiale|9577
ADA3O|Théâtre|11e année|Ouvert|1495
ADA4E|Théâtre|12e année|Filière préemploi|112
ADA4M|Théâtre|12e année|Filière préuniversitaire/précollégiale|6231
ADB1O|Théâtre musical|9e année|Ouvert|199
ADB2O|Théâtre musical|10e année|Ouvert|168
ADB3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|581
ADB3O|Théâtre musical|11e année|Ouvert|27
ADB4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|519
ADC1O|Théâtre communautaire|9e année|Ouvert|104
ADC2O|Théâtre communautaire|10e année|Ouvert|87
ADC3M|Théâtre communautaire|11e année|Filière préuniversitaire/précollégiale|110
ADC3O|Théâtre communautaire|11e année|Ouvert|21
ADC4M|Théâtre communautaire|12e année|Filière préuniversitaire/précollégiale|182
ADD1O|Théâtre - production|9e année|Ouvert|773
ADD2O|Théâtre - production|10e année|Ouvert|773
ADD3M|Théâtre - production|11e année|Filière préuniversitaire/précollégiale|1089
ADD3O|Théâtre - production|11e année|Ouvert|130
ADD4M|Théâtre - production|12e année|Filière préuniversitaire/précollégiale|1026
ADD4O|Théâtre - production|12e année|Ouvert|<10
ADF3M|Travail de mise en scène|11e année|Filière préuniversitaire/précollégiale|134
ADF4M|Travail de mise en scène|12e année|Filière préuniversitaire/précollégiale|205
ADG3M|Théâtre - jeu dramatique et improvisation|11e année|Filière préuniversitaire/précollégiale|192
ADG3O|Théâtre - jeu dramatique et improvisation|11e année|Ouvert|77
ADG4M|Théâtre - jeu dramatique et improvisation|12e année|Filière préuniversitaire/précollégiale|143
ADH4T|Performing Arts Career Studies|12e année|Cours collégial, enseigné par le collège (DRC)|10
ADI4T|Technical Theatre|12e année|Cours collégial, enseigné par le collège (DRC)|11
ADJ4T|Acting for Film and Television|12e année|Cours collégial, enseigné par le collège (DRC)|12
ADP3M|Théâtre - dramaturgie et développement théâtral|11e année|Filière préuniversitaire/précollégiale|51
ADP4M|Théâtre - dramaturgie et développement théâtral|12e année|Filière préuniversitaire/précollégiale|48
ADT3M|Théâtre - théâtre canadien|11e année|Filière préuniversitaire/précollégiale|17
ADT4M|Théâtre - théâtre canadien|12e année|Filière préuniversitaire/précollégiale|20
ADV1O|Théâtre - cinéma/vidéo|9e année|Ouvert|29
ADV2O|Théâtre - cinéma/vidéo|10e année|Ouvert|138
ADV3M|Théâtre - cinéma/vidéo|11e année|Filière préuniversitaire/précollégiale|439
ADV3O|Théâtre - cinéma/vidéo|11e année|Ouvert|56
ADV4M|Théâtre - cinéma/vidéo|12e année|Filière préuniversitaire/précollégiale|309
AEA3O|Exploration et création artistique|11e année|Ouvert|963
AEA4O|Exploration et création artistique|12e année|Ouvert|375
AEB4T|Exploring Art and Design|12e année|Cours collégial, enseigné par le collège (DRC)|20
AED4T|Art and Design Portfolio Development|12e année|Cours collégial, enseigné par le collège (DRC)|15
AEF4T|Design|12e année|Cours collégial, enseigné par le collège (DRC)|29
AEH4T|Elements of Décor|12e année|Cours collégial, enseigné par le collège (DRC)|<10
