Code du cours|Description du cours|Année d’études|Parcours ou destination|Effectif
EANAO|Anglais pour débutants 1 (APD1)|Niveau 1|Ouvert|194
EANBO|Anglais pour débutants 2 (APD2)|Niveau 2|Ouvert|146
EANCO|Anglais pour débutants 3 (APD3)|Niveau 3|Ouvert|124
EANDO|Anglais pour débutants 4 (APD4)|Niveau 4|Ouvert|49
ELDAO|English Literacy Development, ELD Level 1|Niveau 1|Ouvert|595
ELDBO|English Literacy Development, ELD Level 2|Niveau 2|Ouvert|615
ELDCO|English Literacy Development, ELD Level 3|Niveau 3|Ouvert|514
ELDDO|English Literacy Development, ELD Level 4|Niveau 4|Ouvert|343
ELDEO|English Literacy Development, ELD Level 5|Niveau 5|Ouvert|160
ELS2O|Literacy Skills, Grade 10, Open|10e année|Ouvert|2208
ESLAO|English as a Second Language, ESL Level 1|Niveau 1|Ouvert|2229
ESLBO|English as a Second Language, ESL Level 2|Niveau 2|Ouvert|3991
ESLCO|English as a Second Language, ESL Level 3|Niveau 3|Ouvert|6596
ESLDO|English as a Second Language, ESL Level 4|Niveau 4|Ouvert|7897
ESLEO|English as a Second Language, ESL Level 5|Niveau 5|Ouvert|5673
FEF1D|Extended French|9e année|Cours théorique|3320
FEF2D|Extended French|10e année|Cours théorique|2894
FEF3U|Extended French|11e année|Filière préuniversitaire|2469
FEF4U|Extended French|12e année|Filière préuniversitaire|2243
FFAAO|Actualisation linguistique en français 1|Niveau 1|Ouvert|50
FFABO|Actualisation linguistique en français 2|Niveau 2|Ouvert|35
FFACO|Actualisation linguistique en français 3|Niveau 3|Ouvert|<10
FFM3O|Français des médias|11e année|Ouvert|39
FFPAO|Programme d'appui aux nouveaux arrivants 1|Niveau 1|Ouvert|29
FFPBO|Programme d'appui aux nouveaux arrivants 2|Niveau 2|Ouvert|21
FFPCO|Programme d'appui aux nouveaux arrivants 3|Niveau 3|Ouvert|16
FFPDO|Programme d'appui aux nouveaux arrivants 4|Niveau 4|Ouvert|<10
FIF1D|French Immersion|9e année|Cours théorique|8828
FIF1P|French Immersion|9e année|Cours appliqué|<10
FIF2D|French Immersion|10e année|Cours théorique|7893
FIF2P|French Immersion|10e année|Cours appliqué|<10
FIF3O|French Immersion|11e année|Ouvert|37
FIF3U|French Immersion|11e année|Filière préuniversitaire|6921
FIF4O|French Immersion|12e année|Ouvert|25
FIF4U|French Immersion|12e année|Filière préuniversitaire|6104
FSF1D|Core French|9e année|Cours théorique|66847
FSF1O|Core French|9e année|Ouvert|1585
FSF1P|Core French|9e année|Cours appliqué|36082
FSF2D|Core French|10e année|Cours théorique|26308
FSF2O|Core French|10e année|Ouvert|<10
FSF2P|Core French|10e année|Cours appliqué|684
FSF3O|Core French|11e année|Ouvert|209
FSF3U|Core French|11e année|Filière préuniversitaire|14563
FSF4O|Core French|12e année|Ouvert|74
FSF4U|Core French|12e année|Filière préuniversitaire|10099
LNAAO|Cayuga|Niveau 1|Ouvert|113
LNB4T|Conversational Ojibway|12e année|Cours collégial, enseigné par le collège (DRC)|<10
LNCAO|Cri|Niveau 1|Ouvert|<10
LNDAO|Delaware|Niveau 1|Ouvert|11
LNDBO|Delaware|Niveau 2|Ouvert|<10
LNDCO|Delaware|Niveau 3|Ouvert|<10
LNLAO|Oji-cri|Niveau 1|Ouvert|52
LNLBO|Oji-cri|Niveau 2|Ouvert|16
LNLCO|Oji-cri|Niveau 3|Ouvert|<10
LNMAO|Mohawk|Niveau 1|Ouvert|39
LNMBO|Mohawk|Niveau 2|Ouvert|29
LNMCO|Mohawk|Niveau 3|Ouvert|27
LNMDO|Mohawk|Niveau 4|Ouvert|<10
LNMEO|Mohawk|Niveau 5|Ouvert|<10
LNNAO|Oneida|Niveau 1|Ouvert|37
LNNBO|Oneida|Niveau 2|Ouvert|<10
LNNCO|Oneida|Niveau 3|Ouvert|<10
LNOAO|Ojibway|Niveau 1|Ouvert|698
LNOBO|Ojibway|Niveau 2|Ouvert|318
LNOCO|Ojibway|Niveau 3|Ouvert|94
LNODO|Ojibway|Niveau 4|Ouvert|29
LNOEO|Ojibway|Niveau 5|Ouvert|<10
