Code du cours|Description du cours|Années d’études|Parcours ou destination|Effectif
EANAO|Anglais pour débutants 1 (APD1)|Niveau 1|Ouvert|195
EANBO|Anglais pour débutants 2 (APD2)|Niveau 2|Ouvert|235
EANCO|Anglais pour débutants 3 (APD3)|Niveau 3|Ouvert|175
EANDO|Anglais pour débutants 4 (APD4)|Niveau 4|Ouvert|55
ELDAO|English Literacy Development, ELD Level 1|Niveau 1|Ouvert|1150
ELDBO|English Literacy Development, ELD Level 2|Niveau 2|Ouvert|1040
ELDCO|English Literacy Development, ELD Level 3|Niveau 3|Ouvert|900
ELDDO|English Literacy Development, ELD Level 4|Niveau 4|Ouvert|665
ELDEO|English Literacy Development, ELD Level 5|Niveau 5|Ouvert|270
ESLAO|English as a Second Language, ESL Level 1|Niveau 1|Ouvert|2685
ESLBO|English as a Second Language, ESL Level 2|Niveau 2|Ouvert|5380
ESLCO|English as a Second Language, ESL Level 3|Niveau 3|Ouvert|8550
ESLDO|English as a Second Language, ESL Level 4|Niveau 4|Ouvert|10225
ESLEO|English as a Second Language, ESL Level 5|Niveau 5|Ouvert|7060
FEF1D|Extended French|9e année|Cours théorique|2795
FEF2D|Extended French|10e année|Cours théorique|2460
FEF3U|Extended French|11e année|Filière préuniversitaire|2530
FEF4U|Extended French|12e année|Filière préuniversitaire|2455
FFAAO|Actualisation linguistique en français 1|Niveau 1|Ouvert|55
FFABO|Actualisation linguistique en français 2|Niveau 2|Ouvert|35
FFACO|Actualisation linguistique en français 3|Niveau 3|Ouvert|25
FFADO|Actualisation linguistique en français 4|Niveau 4|Ouvert|<10
FFM3O|Français des médias|11e année|Ouvert|<10
FFPAO|Programme d'appui aux nouveaux arrivants 1|Niveau 1|Ouvert|140
FFPBO|Programme d'appui aux nouveaux arrivants 2|Niveau 2|Ouvert|20
FFPCO|Programme d'appui aux nouveaux arrivants 3|Niveau 3|Ouvert|<10
FFPDO|Programme d'appui aux nouveaux arrivants 4|Niveau 4|Ouvert|<10
FIF1D|French Immersion|9e année|Cours théorique|12445
FIF1P|French Immersion|9e année|Cours appliqué|115
FIF2D|French Immersion|10e année|Cours théorique|10600
FIF2P|French Immersion|10e année|Cours appliqué|75
FIF3O|French Immersion|11e année|Ouvert|90
FIF3U|French Immersion|11e année|Filière préuniversitaire|8315
FIF4O|French Immersion|12e année|Ouvert|130
FIF4U|French Immersion|12e année|Filière préuniversitaire|7255
FSF1D|Core French|9e année|Cours théorique|68990
FSF1O|Core French|9e année|Ouvert|4655
FSF1P|Core French|9e année|Cours appliqué|35295
FSF2D|Core French|10e année|Cours théorique|25610
FSF2O|Core French|10e année|Ouvert|140
FSF2P|Core French|10e année|Cours appliqué|670
FSF3O|Core French|11e année|Ouvert|260
FSF3U|Core French|11e année|Filière préuniversitaire|14675
FSF4O|Core French|12e année|Ouvert|95
FSF4U|Core French|12e année|Filière préuniversitaire|10425
LNAAO|Cayuga|Niveau 1|Ouvert|45
LNABO|Cayuga|Niveau 2|Ouvert|10
LNACO|Cayuga|Niveau 3|Ouvert|<10
LNCAO|Cri|Niveau 1|Ouvert|20
LNLAO|Oji-cri|Niveau 1|Ouvert|105
LNLBO|Oji-cri|Niveau 2|Ouvert|20
LNLCO|Oji-cri|Niveau 3|Ouvert|<10
LNMAO|Mohawk|Niveau 1|Ouvert|110
LNMBO|Mohawk|Niveau 2|Ouvert|60
LNMCO|Mohawk|Niveau 3|Ouvert|15
LNMDO|Mohawk|Niveau 4|Ouvert|<10
LNMEO|Mohawk|Niveau 5|Ouvert|<10
LNNAO|Oneida|Niveau 1|Ouvert|15
LNNBO|Oneida|Niveau 2|Ouvert|35
LNNCO|Oneida|Niveau 3|Ouvert|<10
LNOAO|Ojibway|Niveau 1|Ouvert|895
LNOBO|Ojibway|Niveau 2|Ouvert|365
LNOCO|Ojibway|Niveau 3|Ouvert|120
LNODO|Ojibway|Niveau 4|Ouvert|35
LNOEO|Ojibway|Niveau 5|Ouvert|15
