Code du cours|Description du cours|Années d’études|Parcours ou destination|Effectif
EANAO|Anglais pour débutants 1 (APD1)|Niveau 1|Ouvert|190
EANBO|Anglais pour débutants 2 (APD2)|Niveau 2|Ouvert|215
EANCO|Anglais pour débutants 3 (APD3)|Niveau 3|Ouvert|135
EANDO|Anglais pour débutants 4 (APD4)|Niveau 4|Ouvert|55
ELDAO|English Literacy Development, ELD Level 1|Niveau 1|Ouvert|1310
ELDBO|English Literacy Development, ELD Level 2|Niveau 2|Ouvert|940
ELDCO|English Literacy Development, ELD Level 3|Niveau 3|Ouvert|950
ELDDO|English Literacy Development, ELD Level 4|Niveau 4|Ouvert|670
ELDEO|English Literacy Development, ELD Level 5|Niveau 5|Ouvert|350
ESLAO|English as a Second Language, ESL Level 1|Niveau 1|Ouvert|2465
ESLBO|English as a Second Language, ESL Level 2|Niveau 2|Ouvert|4975
ESLCO|English as a Second Language, ESL Level 3|Niveau 3|Ouvert|8115
ESLDO|English as a Second Language, ESL Level 4|Niveau 4|Ouvert|9495
ESLEO|English as a Second Language, ESL Level 5|Niveau 5|Ouvert|6885
FEF1D|Extended French|9e année|Cours théorique|2785
FEF2D|Extended French|10e année|Cours théorique|2330
FEF3U|Extended French|11e année|Filière préuniversitaire|2115
FEF4U|Extended French|12e année|Filière préuniversitaire|2240
FFAAO|Actualisation linguistique en français 1|Niveau 1|Ouvert|55
FFABO|Actualisation linguistique en français 2|Niveau 2|Ouvert|45
FFACO|Actualisation linguistique en français 3|Niveau 3|Ouvert|20
FFADO|Actualisation linguistique en français 4|Niveau 4|Ouvert|<10
FFM3O|Français des médias|11e année|Ouvert|<10
FFPAO|Programme d'appui aux nouveaux arrivants 1|Niveau 1|Ouvert|120
FFPBO|Programme d'appui aux nouveaux arrivants 2|Niveau 2|Ouvert|25
FFPCO|Programme d'appui aux nouveaux arrivants 3|Niveau 3|Ouvert|15
FFPDO|Programme d'appui aux nouveaux arrivants 4|Niveau 4|Ouvert|<10
FIF1D|French Immersion|9e année|Cours théorique|12500
FIF1P|French Immersion|9e année|Cours appliqué|120
FIF2D|French Immersion|10e année|Cours théorique|11455
FIF2P|French Immersion|10e année|Cours appliqué|100
FIF3O|French Immersion|11e année|Ouvert|150
FIF3U|French Immersion|11e année|Filière préuniversitaire|9670
FIF4O|French Immersion|12e année|Ouvert|140
FIF4U|French Immersion|12e année|Filière préuniversitaire|7405
FSF1D|Core French|9e année|Cours théorique|68840
FSF1O|Core French|9e année|Ouvert|5845
FSF1P|Core French|9e année|Cours appliqué|35045
FSF2D|Core French|10e année|Cours théorique|24595
FSF2O|Core French|10e année|Ouvert|145
FSF2P|Core French|10e année|Cours appliqué|510
FSF3O|Core French|11e année|Ouvert|180
FSF3U|Core French|11e année|Filière préuniversitaire|14240
FSF4O|Core French|12e année|Ouvert|65
FSF4U|Core French|12e année|Filière préuniversitaire|10590
LNAAO|Cayuga|Niveau 1|Ouvert|75
LNABO|Cayuga|Niveau 2|Ouvert|<10
LNACO|Cayuga|Niveau 3|Ouvert|<10
LNCAO|Cri|Niveau 1|Ouvert|<10
LNCBO|Cri|Niveau 2|Ouvert|<10
LNDAO|Delaware|Niveau 1|Ouvert|<10
LNDBO|Delaware|Niveau 2|Ouvert|<10
LNDCO|Delaware|Niveau 3|Ouvert|<10
LNDDO|Delaware|Niveau 4|Ouvert|<10
LNLAO|Oji-cri|Niveau 1|Ouvert|80
LNLBO|Oji-cri|Niveau 2|Ouvert|25
LNLCO|Oji-cri|Niveau 3|Ouvert|<10
LNMAO|Mohawk|Niveau 1|Ouvert|75
LNMBO|Mohawk|Niveau 2|Ouvert|35
LNMCO|Mohawk|Niveau 3|Ouvert|15
LNMDO|Mohawk|Niveau 4|Ouvert|10
LNMEO|Mohawk|Niveau 5|Ouvert|<10
LNNAO|Oneida|Niveau 1|Ouvert|35
LNNBO|Oneida|Niveau 2|Ouvert|25
LNNCO|Oneida|Niveau 3|Ouvert|15
LNNDO|Oneida|Niveau 4|Ouvert|<10
LNOAO|Ojibway|Niveau 1|Ouvert|920
LNOBO|Ojibway|Niveau 2|Ouvert|450
LNOCO|Ojibway|Niveau 3|Ouvert|170
LNODO|Ojibway|Niveau 4|Ouvert|30
LNOEO|Ojibway|Niveau 5|Ouvert|<10
