Course Code|Course Description|Grade|Pathway or Destination|Enrolment
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|34237
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|26094
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|11043
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|2033
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|209
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|7290
ADA4O|Drama|Grade 12|Open (Grade 9 - 12 level)|<10
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|227
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|220
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|657
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|112
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|600
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|151
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|153
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|140
ADC3O|Drama in the Community|Grade 11|Open (Grade 9 - 12 level)|117
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|290
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|652
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|754
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|1082
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|244
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1121
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|56
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|226
ADG3M|Drama - Acting/Improvisation|Grade 11|University/College Preparation (Grade 11 & 12 level)|272
ADG3O|Drama - Acting/Improvisation|Grade 11|Open (Grade 9 - 12 level)|136
ADG4M|Drama - Acting/Improvisation|Grade 12|University/College Preparation (Grade 11 & 12 level)|155
ADH4T|Performing Arts Career Studies|Grade 12|College Delivered (Dual Credits)|14
ADJ4T|Acting for Film and Television|Grade 12|College Delivered (Dual Credits)|<10
ADP3M|Drama - Playwriting/Theatre Development|Grade 11|University/College Preparation (Grade 11 & 12 level)|88
ADP4M|Drama - Playwriting/Theatre Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|48
ADT3M|Drama - Canadian Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|18
