Course Code|Course Description|Grade|Pathway or Destination|Enrolment
AAR4T|Initiation à la régie|Grade 12|College Delivered (Dual Credits)|<10
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|31,083
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|22,844
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|9,929
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|1,808
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|135
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|6,759
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|146
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|204
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|526
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|115
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|638
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|137
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|82
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|114
ADC3O|Drama in the Community|Grade 11|Open (Grade 9 - 12 level)|44
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|229
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|736
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|821
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|1,004
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|165
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1,081
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|100
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|221
ADG3M|Drama - Acting/Improvisation|Grade 11|University/College Preparation (Grade 11 & 12 level)|172
ADG3O|Drama - Acting/Improvisation|Grade 11|Open (Grade 9 - 12 level)|62
ADG4M|Drama - Acting/Improvisation|Grade 12|University/College Preparation (Grade 11 & 12 level)|119
ADH4T|Performing Arts Career Studies|Grade 12|College Delivered (Dual Credits)|34
ADI4T|Technical Theatre|Grade 12|College Delivered (Dual Credits)|13
ADJ4T|Acting for Film and Television|Grade 12|College Delivered (Dual Credits)|17
ADP3M|Drama - Playwriting/Theatre Development|Grade 11|University/College Preparation (Grade 11 & 12 level)|55
ADP4M|Drama - Playwriting/Theatre Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|64
ADT3M|Drama - Canadian Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|16
ADT4M|Drama - Canadian Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|18
ADV1O|Drama - Film/Video|Grade 9|Open (Grade 9 - 12 level)|38
ADV2O|Drama - Film/Video|Grade 10|Open (Grade 9 - 12 level)|165
ADV3M|Drama - Film/Video|Grade 11|University/College Preparation (Grade 11 & 12 level)|492
